,일시,일 미세먼지 농도(㎍/㎥)
569,2019-07-24,18.57142857
570,2019-07-25,19.73076923
571,2019-07-26,18.84210526
572,2019-07-27,21.35
573,2019-07-28,15.55
574,2019-07-29,15.75
575,2019-07-30,16.08333333
576,2019-07-31,13.66666667
577,2019-08-01,14.04545455
578,2019-08-02,16.875
579,2019-08-03,21.625
580,2019-08-04,28.03846154
581,2019-08-05,33.33333333
582,2019-08-06,28.875
583,2019-08-07,27.08
584,2019-08-08,27.625
585,2019-08-09,20.91304348
586,2019-08-10,23.19230769
587,2019-08-11,19.07692308
588,2019-08-12,20.5
589,2019-08-13,21.04
590,2019-08-14,19.25
591,2019-08-15,12.45
592,2019-08-16,18.5
593,2019-08-17,28
594,2019-08-18,25.33333333
595,2019-08-19,25.57692308
596,2019-08-20,28.35714286
597,2019-08-21,27.25925926
598,2019-08-22,26.03846154
599,2019-08-23,28.32142857
600,2019-08-24,23.89655172
601,2019-08-25,19.45833333
602,2019-08-26,21.13793103
603,2019-08-27,18.76923077
604,2019-08-28,19.08
605,2019-08-29,23.84615385
606,2019-08-30,19.33333333
607,2019-08-31,16.6
608,2019-09-01,20.12
609,2019-09-02,19.84
610,2019-09-03,16.32
611,2019-09-04,11.95833333
612,2019-09-05,16
613,2019-09-06,17.15384615
614,2019-09-07,19.05
615,2019-09-08,23.45833333
616,2019-09-09,24
617,2019-09-10,22.26923077
618,2019-09-11,19.39130435
619,2019-09-12,12.73913043
620,2019-09-13,14.47826087
621,2019-09-14,15.2173913
622,2019-09-15,15.66666667
623,2019-09-16,16.875
624,2019-09-17,19.52173913
625,2019-09-18,24.6
626,2019-09-19,23.36
627,2019-09-20,20
628,2019-09-21,13.80952381
629,2019-09-22,14.44444444
630,2019-09-23,13.47368421
631,2019-09-24,20.40909091
632,2019-09-25,23.68181818
633,2019-09-26,23.52173913
634,2019-09-27,24.58333333
635,2019-09-28,24.77777778
636,2019-09-29,30.24137931
637,2019-09-30,36.88888889
638,2019-10-01,33
639,2019-10-02,18.95
640,2019-10-03,22
641,2019-10-04,30.58333333
642,2019-10-05,27.09090909
643,2019-10-06,14.86363636
644,2019-10-07,11.71428571
645,2019-10-08,
646,2019-10-09,
647,2019-10-10,21.96153846
648,2019-10-11,28.74074074
649,2019-10-12,25.77777778
650,2019-10-13,20.54166667
651,2019-10-14,26.03846154
652,2019-10-15,20.68181818
653,2019-10-16,23.08333333
654,2019-10-17,24.96153846
655,2019-10-18,17.7826087
656,2019-10-19,20.09090909
657,2019-10-20,28.72727273
658,2019-10-21,30.68
659,2019-10-22,26.08695652
660,2019-10-23,24.19230769
661,2019-10-24,24.46428571
662,2019-10-25,21.61538462
663,2019-10-26,20.11538462
664,2019-10-27,20
665,2019-10-28,28.57692308
666,2019-10-29,68
667,2019-10-30,26.51851852
668,2019-10-31,62.11111111
669,2019-11-01,85
670,2019-11-02,57.10344828
671,2019-11-03,45.15384615
672,2019-11-04,22.11538462
673,2019-11-05,29.20689655
674,2019-11-06,33.93103448
675,2019-11-07,33.89655172
676,2019-11-08,32.57692308
677,2019-11-09,32.51724138
678,2019-11-10,30.82142857
679,2019-11-11,25.10714286
680,2019-11-12,28.51851852
681,2019-11-13,27.28571429
682,2019-11-14,19.92857143
683,2019-11-15,29.81481481
684,2019-11-16,32.82758621
685,2019-11-17,29.2962963
686,2019-11-18,62.39285714
687,2019-11-19,25.78571429
688,2019-11-20,19.92857143
689,2019-11-21,28.85714286
690,2019-11-22,31.71428571
691,2019-11-23,24.96551724
692,2019-11-24,25.89285714
693,2019-11-25,20.04166667
694,2019-11-26,21
695,2019-11-27,25.51724138
696,2019-11-28,28
697,2019-11-29,22.11538462
698,2019-11-30,27.11111111
699,2019-12-01,26.75
700,2019-12-02,18.4137931
701,2019-12-03,19.55172414
702,2019-12-04,24.89285714
703,2019-12-05,19
704,2019-12-06,20.48148148
705,2019-12-07,29.62068966
706,2019-12-08,33.44827586
707,2019-12-09,42.62962963
708,2019-12-10,64.74074074
709,2019-12-11,52.17857143
710,2019-12-12,16.46428571
